generation  	alive.rpl   	adlt.nbPops 	adlt.nbInd  	emigrants   	adlt.nbInd_p1	adlt.nbInd_p2	adlt.nbInd_p3	adlt.nbInd_p4	adlt.nbInd_p5	adlt.nbInd_p6
161         	18          	1.543       	4.489e+05   	0.5428      	5.729e+04   	5.321e+04   	5.037e+04   	2.301e+04   	1.285e+04   	2.363e+04   
162         	18          	1.951       	4.41e+05    	0.4105      	5.709e+04   	5.291e+04   	4.858e+04   	2.315e+04   	1.24e+04    	2.359e+04   
163         	18          	1.719       	4.406e+05   	0.8227      	5.747e+04   	5.35e+04    	4.727e+04   	2.304e+04   	1.228e+04   	2.298e+04   
164         	18          	1.667       	4.32e+05    	0.6001      	5.786e+04   	5.341e+04   	4.596e+04   	2.329e+04   	1.235e+04   	2.247e+04   
165         	18          	1.222       	4.258e+05   	0.5601      	5.765e+04   	5.361e+04   	4.515e+04   	2.31e+04    	1.229e+04   	2.192e+04   
166         	18          	1.099       	3.596e+05   	1.147       	5.73e+04    	5.46e+04    	4.695e+04   	2.312e+04   	1.233e+04   	2.094e+04   
167         	18          	1.275       	3.55e+05    	0.5629      	5.703e+04   	5.531e+04   	4.643e+04   	2.304e+04   	1.227e+04   	1.944e+04   
168         	18          	1.275       	3.895e+05   	0.4404      	5.714e+04   	5.457e+04   	4.562e+04   	2.269e+04   	1.227e+04   	2.756e+04   
169         	18          	1           	3.75e+05    	0.4896      	5.74e+04    	5.348e+04   	4.869e+04   	2.272e+04   	1.241e+04   	2.545e+04   
170         	18          	1.111       	3.867e+05   	0.4716      	5.524e+04   	5.269e+04   	4.823e+04   	2.258e+04   	1.247e+04   	2.293e+04   
171         	18          	1.099       	3.718e+05   	0.4775      	5.567e+04   	5.222e+04   	4.708e+04   	2.231e+04   	1.235e+04   	2.928e+04   
172         	18          	1.222       	3.703e+05   	0.454       	5.516e+04   	5.451e+04   	4.651e+04   	2.184e+04   	1.232e+04   	2.627e+04   
173         	18          	1.164       	3.844e+05   	0.4303      	5.565e+04   	5.529e+04   	4.56e+04    	2.136e+04   	1.23e+04    	3.218e+04   
174         	18          	1.164       	3.801e+05   	0.6887      	5.545e+04   	5.431e+04   	4.43e+04    	2.051e+04   	1.227e+04   	3.099e+04   
175         	18          	1.111       	3.461e+05   	0.6843      	5.032e+04   	5.373e+04   	4.231e+04   	1.972e+04   	1.231e+04   	2.991e+04   
176         	18          	1.052       	3.345e+05   	0.5342      	5.048e+04   	5.334e+04   	3.928e+04   	1.839e+04   	1.233e+04   	2.851e+04   
177         	18          	0.7284      	3.309e+05   	0.3936      	5.004e+04   	5.252e+04   	3.612e+04   	1.706e+04   	1.239e+04   	2.715e+04   
178         	18          	0.7654      	3.221e+05   	0.559       	5.047e+04   	5.216e+04   	3.215e+04   	1.546e+04   	1.234e+04   	2.516e+04   
179         	18          	0.8765      	3.077e+05   	0.59        	5.072e+04   	5.142e+04   	2.924e+04   	2.446e+04   	1.224e+04   	2.319e+04   
180         	18          	0.8302      	3.356e+05   	0.5283      	5.061e+04   	5.096e+04   	2.671e+04   	3.25e+04    	1.235e+04   	2.123e+04   
