replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	438         	8.55        	0.2918      	0.4473      	0.133       
1           	439         	8.65        	0.2939      	0.4501      	0.1341      
1           	440         	8.8         	0.2986      	0.4584      	0.1347      
1           	441         	8.65        	0.2961      	0.4523      	0.1359      
1           	442         	8.55        	0.2948      	0.4505      	0.1355      
1           	443         	8.8         	0.292       	0.4425      	0.1382      
1           	444         	8.65        	0.291       	0.4383      	0.1404      
1           	445         	8.55        	0.2907      	0.4371      	0.1411      
1           	446         	8.5         	0.2905      	0.4338      	0.1442      
1           	447         	8.5         	0.2881      	0.4287      	0.1447      
1           	448         	8.85        	0.2863      	0.4247      	0.1451      
1           	449         	8.85        	0.2874      	0.4258      	0.1463      
1           	450         	8.7         	0.2876      	0.4228      	0.1498      
1           	451         	8.7         	0.2848      	0.4191      	0.1477      
1           	452         	8.65        	0.2852      	0.4143      	0.1533      
1           	453         	8.6         	0.283       	0.4103      	0.1526      
1           	454         	8.4         	0.2838      	0.4119      	0.1526      
1           	455         	8.55        	0.2864      	0.4168      	0.1526      
1           	456         	8.75        	0.291       	0.4236      	0.155       
1           	457         	8.65        	0.2931      	0.4261      	0.1565      
1           	458         	8.45        	0.2955      	0.4303      	0.157       
1           	459         	8.5         	0.2934      	0.4272      	0.1559      
1           	460         	8.55        	0.2953      	0.4302      	0.1568      
1           	461         	8.7         	0.291       	0.4243      	0.1541      
1           	462         	8.85        	0.2887      	0.4205      	0.1533      
1           	463         	8.8         	0.2863      	0.4197      	0.1494      
1           	464         	8.8         	0.2883      	0.4223      	0.1506      
1           	465         	8.75        	0.2907      	0.424       	0.1536      
1           	466         	8.85        	0.2915      	0.428       	0.1509      
1           	467         	8.7         	0.2936      	0.4287      	0.155       
1           	468         	8.7         	0.292       	0.4277      	0.1525      
1           	469         	8.75        	0.2917      	0.427       	0.1524      
1           	470         	8.75        	0.2879      	0.4216      	0.1502      
1           	471         	8.8         	0.2895      	0.4227      	0.1522      
1           	472         	8.8         	0.2908      	0.4204      	0.1575      
1           	473         	8.8         	0.2911      	0.4194      	0.159       
1           	474         	9.05        	0.2908      	0.4208      	0.1571      
1           	475         	8.85        	0.2955      	0.4228      	0.1645      
1           	476         	8.85        	0.296       	0.424       	0.1639      
1           	477         	8.75        	0.2994      	0.4281      	0.1664      
