replicate   	generation  	n.adlt.nbAll	n.adlt.fst  	n.adlt.fst_l1	n.adlt.fst_l2
1           	674         	9.95        	0.02586     	0.03333     	0.01839     
1           	675         	9.95        	0.02535     	0.03163     	0.01907     
1           	676         	9.9         	0.0262      	0.03119     	0.02122     
1           	677         	9.9         	0.02515     	0.02948     	0.02083     
1           	678         	9.95        	0.02471     	0.02842     	0.02102     
1           	679         	9.9         	0.02434     	0.02908     	0.01961     
1           	680         	9.9         	0.02383     	0.02877     	0.0189      
1           	681         	9.95        	0.02374     	0.02913     	0.01837     
1           	682         	9.95        	0.02539     	0.03003     	0.02075     
1           	683         	9.95        	0.02459     	0.02871     	0.02049     
1           	684         	10          	0.02441     	0.02885     	0.01998     
1           	685         	10          	0.02649     	0.03121     	0.02179     
1           	686         	10          	0.02586     	0.02986     	0.02188     
1           	687         	10          	0.02423     	0.02858     	0.01991     
1           	688         	10          	0.02421     	0.02937     	0.01907     
1           	689         	9.95        	0.02467     	0.03009     	0.01929     
1           	690         	9.9         	0.0248      	0.03023     	0.01941     
1           	691         	9.95        	0.02461     	0.02986     	0.0194      
1           	692         	9.9         	0.02522     	0.03049     	0.01998     
1           	693         	9.85        	0.02496     	0.03007     	0.0199      
1           	694         	9.9         	0.02443     	0.02982     	0.0191      
1           	695         	9.95        	0.02502     	0.02931     	0.02077     
1           	696         	9.9         	0.0247      	0.02944     	0.02001     
1           	697         	9.9         	0.02369     	0.02841     	0.019       
